job_title,education_level,experience_years,skills_count,industry,company_size,location,remote_work,certifications,salary
Risk analyst,Diploma,6,9,Healthcare,Enterprise,Germany,Hybrid,5,166687
Risk analyst,Bachelor,19,7,Media,Medium,Netherlands,Hybrid,3,155245
Risk analyst,Diploma,20,17,Healthcare,Enterprise,Australia,No,1,191228
Math teacher,Bachelor,5,10,Healthcare,Enterprise,Sweden,Hybrid,2,146527
AI researcher,Diploma,5,16,Media,Large,Singapore,Hybrid,4,131688
Data Scientist,Master,0,8,Government,Enterprise,Canada,Yes,2,184024
Actuary,PhD,1,9,Manufacturing,Small,USA,Hybrid,1,163843
Statistician,Diploma,11,6,Telecom,Enterprise,Australia,No,0,120515
Risk analyst,Master,14,18,Retail,Startup,USA,No,2,197296
Data Analyst,PhD,13,7,Technology,Large,Germany,No,1,159697
Systems analyst,Master,15,3,Education,Medium,Germany,No,4,155447
Cybersecurity Analyst,Master,6,16,Technology,Large,Canada,Yes,5,195056
Actuary,Master,6,10,Government,Large,Australia,No,1,156006
Software Engineer,Diploma,3,5,Telecom,Medium,Germany,Yes,5,130096
Math teacher,Master,7,18,Media,Medium,UK,No,3,180133
Software Engineer,High School,19,17,Government,Medium,Remote,Yes,0,143716
Systems analyst,Master,2,3,Retail,Large,Germany,No,5,139294
Risk analyst,Master,14,8,Manufacturing,Medium,Canada,Yes,5,196817
AI researcher,Master,8,1,Telecom,Enterprise,Canada,Yes,1,171182
Systems analyst,High School,17,4,Media,Medium,UK,Yes,4,148658
Risk analyst,Diploma,13,14,Telecom,Enterprise,Netherlands,No,4,178708
Actuary,High School,13,3,Technology,Enterprise,Singapore,Hybrid,2,159971
Data Analyst,PhD,18,19,Government,Large,Sweden,Yes,3,174506
Cybersecurity Analyst,Master,18,16,Manufacturing,Enterprise,Australia,Hybrid,3,210230
Cybersecurity Analyst,Diploma,20,11,Government,Large,India,No,4,122492
Risk analyst,PhD,1,11,Media,Large,Sweden,Hybrid,5,159728
Data Scientist,Bachelor,20,1,Manufacturing,Large,Remote,No,2,165967
Operations research analyst,High School,11,8,Education,Startup,Sweden,Hybrid,3,124862
Software Engineer,Master,6,9,Government,Small,Sweden,No,4,120398
Risk analyst,High School,20,16,Retail,Startup,Germany,No,2,158182
Systems analyst,PhD,18,17,Finance,Startup,Australia,Yes,4,153876
Cybersecurity Analyst,Diploma,11,5,Manufacturing,Enterprise,India,Hybrid,2,109657
Cybersecurity Analyst,Master,11,11,Technology,Large,USA,Yes,0,215710
Actuary,Bachelor,11,4,Telecom,Enterprise,Australia,Hybrid,1,174192
Financial modeler,High School,20,8,Technology,Enterprise,Australia,Hybrid,1,165128
Math teacher,PhD,14,5,Consulting,Enterprise,Remote,Hybrid,1,195405
Software Engineer,Diploma,8,4,Consulting,Medium,UK,No,5,140486
Risk analyst,Diploma,15,15,Retail,Large,USA,Hybrid,4,215723
Actuary,High School,2,14,Media,Small,India,No,3,79479
Financial modeler,Diploma,2,3,Telecom,Startup,UK,Yes,3,116652
Risk analyst,Master,19,10,Healthcare,Medium,Germany,Hybrid,1,182826
Statistician,PhD,10,17,Technology,Enterprise,Canada,No,1,190695
AI researcher,Diploma,6,13,Government,Medium,Remote,Yes,4,124884
Math teacher,Bachelor,17,15,Education,Enterprise,Germany,No,2,216743
Financial modeler,Bachelor,7,16,Education,Enterprise,Sweden,Yes,5,162149
Actuary,High School,14,8,Education,Startup,India,No,0,87650
Math teacher,Diploma,11,15,Manufacturing,Enterprise,Netherlands,No,3,172762
Financial modeler,Master,0,13,Telecom,Medium,Australia,Hybrid,3,116167
Actuary,Bachelor,2,10,Retail,Enterprise,India,Hybrid,4,96855
AI researcher,Diploma,17,3,Media,Enterprise,USA,Yes,2,211990
Software Engineer,PhD,10,9,Education,Startup,India,No,5,91523
AI researcher,PhD,13,2,Media,Large,Netherlands,No,1,161401
Risk analyst,Bachelor,1,11,Consulting,Enterprise,UK,Yes,2,164137
Operations research analyst,High School,13,19,Consulting,Enterprise,Netherlands,Hybrid,5,205290
Data Analyst,Master,18,13,Healthcare,Enterprise,Canada,Hybrid,0,193327
Actuary,High School,6,10,Telecom,Medium,USA,Yes,2,169958
Data Analyst,PhD,1,11,Technology,Medium,Canada,Hybrid,2,115483
Risk analyst,High School,20,5,Healthcare,Large,Netherlands,Yes,5,171973
Risk analyst,PhD,3,4,Government,Small,Singapore,No,0,134213
Cybersecurity Analyst,Master,16,5,Technology,Small,Singapore,Hybrid,4,148640
Financial modeler,Master,8,9,Healthcare,Large,Netherlands,Hybrid,5,160679
Systems analyst,Master,19,15,Media,Small,Netherlands,Hybrid,2,141096
Cybersecurity Analyst,Master,2,5,Media,Large,Singapore,No,4,128448
Risk analyst,High School,13,11,Consulting,Large,UK,Yes,1,178281
Risk analyst,Master,16,9,Retail,Medium,Canada,No,2,188297
Financial modeler,Master,6,11,Manufacturing,Small,USA,Yes,3,170572
Math teacher,High School,4,13,Telecom,Medium,Remote,No,0,110159
Systems analyst,Bachelor,19,13,Retail,Large,Remote,Hybrid,3,151928
Actuary,Bachelor,8,9,Retail,Small,Germany,Yes,0,142980
Data Scientist,PhD,2,1,Technology,Small,Canada,Yes,4,148267
Data Analyst,High School,5,3,Consulting,Large,Singapore,Hybrid,4,98004
Data Scientist,Diploma,19,1,Telecom,Large,Singapore,Hybrid,1,157618
Cybersecurity Analyst,Bachelor,2,19,Consulting,Startup,Remote,Yes,0,121837
Data Scientist,Bachelor,17,16,Finance,Enterprise,Remote,Hybrid,4,189582
Financial modeler,PhD,0,12,Media,Small,Australia,Yes,4,126032
Systems analyst,Master,16,9,Healthcare,Enterprise,Singapore,No,2,170426
Math teacher,Diploma,20,11,Telecom,Small,Canada,No,3,178583
Operations research analyst,PhD,0,5,Consulting,Medium,Singapore,Hybrid,5,147266
Data Scientist,High School,17,17,Healthcare,Medium,USA,Yes,1,188652
Data Scientist,PhD,9,14,Government,Small,Australia,No,2,136452
Statistician,Diploma,12,17,Media,Large,Sweden,Yes,5,133521
Financial modeler,PhD,19,16,Consulting,Large,Canada,No,5,256657
Statistician,Bachelor,2,18,Healthcare,Enterprise,USA,Hybrid,2,149265
Financial modeler,Bachelor,9,1,Consulting,Small,UK,Hybrid,3,141299
Financial modeler,Bachelor,12,9,Finance,Small,Canada,Yes,2,163260
AI researcher,Diploma,1,13,Government,Large,Remote,Yes,5,126597
Operations research analyst,PhD,6,17,Government,Medium,Canada,Hybrid,5,224065
Cybersecurity Analyst,Bachelor,13,15,Telecom,Large,Remote,Yes,2,170684
Software Engineer,Bachelor,8,2,Manufacturing,Medium,Sweden,Yes,5,122310
Actuary,PhD,15,3,Manufacturing,Startup,Sweden,Yes,0,150959
Cybersecurity Analyst,High School,15,9,Technology,Large,Netherlands,No,2,145264
Data Analyst,High School,7,15,Government,Startup,Australia,No,2,84516
Data Scientist,Diploma,19,9,Healthcare,Large,Australia,No,5,166480
Risk analyst,Diploma,4,12,Technology,Large,Germany,Yes,0,139548
Risk analyst,PhD,17,15,Media,Large,Remote,Yes,4,207413
Data Analyst,Master,4,15,Technology,Small,Canada,Hybrid,1,112022
Data Scientist,High School,7,9,Retail,Startup,Remote,Hybrid,5,109071
Data Scientist,Bachelor,16,7,Retail,Large,Sweden,No,2,157633
Financial modeler,High School,15,11,Technology,Enterprise,Sweden,Yes,4,170410
Software Engineer,Master,6,10,Retail,Medium,Australia,No,4,120166
Data Scientist,PhD,9,9,Education,Startup,USA,Yes,3,189637
AI researcher,Bachelor,3,3,Consulting,Enterprise,Germany,Hybrid,0,134016
Systems analyst,Diploma,5,8,Media,Enterprise,Remote,Yes,2,122061
Cybersecurity Analyst,Bachelor,9,12,Media,Medium,Sweden,No,4,133821
Software Engineer,Master,5,8,Healthcare,Medium,Germany,No,2,133638
Operations research analyst,High School,6,17,Finance,Large,India,No,3,113645
Data Analyst,PhD,7,14,Media,Small,Remote,Hybrid,3,117821
Operations research analyst,Diploma,10,10,Technology,Startup,Canada,Yes,0,159764
Operations research analyst,PhD,15,19,Consulting,Small,UK,Hybrid,5,223275
Data Analyst,PhD,7,5,Telecom,Medium,Australia,Yes,3,119827
Software Engineer,Bachelor,11,12,Healthcare,Large,UK,Hybrid,5,172237
Risk analyst,Diploma,8,3,Technology,Medium,India,No,5,83607
AI researcher,Master,1,11,Technology,Small,Netherlands,Hybrid,2,105621
AI researcher,Master,12,15,Telecom,Small,Sweden,No,2,129189
Actuary,Master,3,14,Manufacturing,Medium,Canada,Hybrid,1,172742
Data Scientist,PhD,2,9,Consulting,Medium,Netherlands,Yes,1,132742
Systems analyst,Master,12,17,Consulting,Enterprise,UK,Hybrid,0,185190
Statistician,Diploma,15,13,Media,Startup,India,Hybrid,1,75713
Data Analyst,PhD,7,9,Consulting,Large,Canada,Yes,0,158414
Risk analyst,Master,13,2,Telecom,Medium,Netherlands,Yes,5,167552
Statistician,PhD,6,12,Media,Large,Remote,Yes,4,149628
Systems analyst,Bachelor,18,4,Media,Enterprise,Canada,Yes,5,209593
Systems analyst,High School,19,5,Telecom,Medium,USA,No,1,165878
Operations research analyst,Master,10,18,Media,Enterprise,UK,No,2,235537
Risk analyst,Master,12,18,Healthcare,Enterprise,Germany,Hybrid,1,204800
Software Engineer,High School,11,4,Media,Startup,Sweden,Hybrid,2,100681
Data Analyst,Bachelor,19,14,Retail,Startup,Remote,Yes,5,125364
Math teacher,Diploma,11,12,Retail,Medium,Australia,Yes,3,149743
Math teacher,High School,19,14,Consulting,Large,Germany,No,4,187771
Cybersecurity Analyst,High School,10,3,Education,Startup,Singapore,No,3,97507
Data Scientist,High School,15,6,Consulting,Medium,USA,No,1,155752
Risk analyst,Diploma,12,1,Telecom,Startup,India,No,4,86409
Risk analyst,Bachelor,4,14,Healthcare,Medium,UK,No,5,139792
Math teacher,PhD,7,18,Government,Medium,USA,No,4,212009
AI researcher,Diploma,14,5,Healthcare,Large,Sweden,Hybrid,2,144835
Actuary,Diploma,20,4,Consulting,Small,Germany,No,0,162123
Statistician,Bachelor,12,8,Retail,Enterprise,India,Hybrid,0,93039
Operations research analyst,Master,10,7,Retail,Small,Singapore,No,3,156986
Math teacher,PhD,3,11,Technology,Startup,Canada,Yes,0,153446
Cybersecurity Analyst,PhD,16,6,Government,Startup,Netherlands,Hybrid,4,151521
Data Scientist,High School,17,13,Technology,Startup,Germany,No,2,139681
Operations research analyst,Bachelor,8,7,Education,Small,Singapore,No,4,147515
Systems analyst,Master,4,13,Manufacturing,Small,Singapore,Hybrid,3,114814
Data Scientist,Diploma,13,6,Manufacturing,Large,Netherlands,No,2,136726
Data Scientist,Diploma,6,5,Finance,Enterprise,Germany,Hybrid,0,134125
Risk analyst,High School,9,10,Government,Startup,India,No,4,78819
Financial modeler,PhD,2,2,Government,Small,Sweden,Yes,2,121112
Operations research analyst,Bachelor,1,9,Manufacturing,Large,Remote,Yes,0,150365
Software Engineer,Bachelor,9,6,Education,Enterprise,Sweden,Yes,5,153931
Systems analyst,Diploma,10,18,Telecom,Medium,Sweden,Yes,0,123198
Statistician,High School,4,2,Healthcare,Large,Netherlands,Hybrid,2,83855
Operations research analyst,Master,9,19,Finance,Enterprise,USA,No,2,264768
Math teacher,High School,1,7,Retail,Large,USA,No,2,152481
Statistician,Diploma,3,17,Education,Small,Sweden,No,1,84810
Software Engineer,Diploma,2,13,Government,Startup,Singapore,Yes,2,92797
Financial modeler,Diploma,1,5,Healthcare,Enterprise,Canada,Hybrid,2,142387
Data Analyst,Master,16,2,Retail,Small,Remote,Yes,0,122565
Operations research analyst,PhD,1,14,Healthcare,Large,Remote,Yes,5,186256
Financial modeler,PhD,1,18,Education,Small,Netherlands,Hybrid,5,139335
Cybersecurity Analyst,High School,7,15,Education,Small,Australia,No,4,125259
Financial modeler,Master,11,3,Finance,Small,Singapore,Hybrid,4,131033
Math teacher,PhD,17,19,Manufacturing,Large,Singapore,No,0,205607
Systems analyst,Master,11,18,Manufacturing,Small,UK,Hybrid,4,157665
Math teacher,Bachelor,10,19,Government,Large,Australia,No,1,151768
Software Engineer,High School,14,6,Finance,Small,UK,Hybrid,3,143367
Systems analyst,PhD,8,1,Finance,Medium,Canada,No,2,154943
Operations research analyst,Master,4,17,Retail,Small,Netherlands,Hybrid,5,157908
Operations research analyst,Diploma,6,16,Media,Enterprise,USA,Yes,4,238768
Statistician,Diploma,11,3,Media,Enterprise,Remote,No,2,123095
Data Analyst,PhD,8,18,Education,Small,Remote,Hybrid,3,118543
Systems analyst,Diploma,8,18,Finance,Startup,USA,Hybrid,3,140943
Systems analyst,Bachelor,15,9,Government,Small,Sweden,Yes,0,124204
Systems analyst,Master,5,5,Healthcare,Small,Netherlands,Hybrid,2,97370
Risk analyst,Bachelor,16,1,Government,Enterprise,Germany,No,1,194368
AI researcher,Bachelor,2,16,Media,Small,Sweden,Yes,2,103190
Actuary,Master,5,6,Finance,Large,UK,No,5,183495
Actuary,Diploma,2,5,Telecom,Small,Singapore,No,0,111751
Software Engineer,PhD,3,7,Finance,Enterprise,Remote,Hybrid,1,145378
AI researcher,Master,7,15,Telecom,Enterprise,Singapore,Hybrid,4,154528
Operations research analyst,Bachelor,11,3,Finance,Large,Remote,Hybrid,3,165184
Cybersecurity Analyst,PhD,5,10,Retail,Small,Remote,Yes,0,133315
AI researcher,Bachelor,5,12,Telecom,Enterprise,Singapore,No,1,137105
Software Engineer,Bachelor,7,1,Finance,Large,Remote,Hybrid,2,132449
Operations research analyst,PhD,15,14,Media,Small,Canada,Hybrid,2,219091
Actuary,Bachelor,5,8,Education,Small,Remote,Yes,5,135969
Data Scientist,High School,11,6,Telecom,Enterprise,Remote,Hybrid,2,139747
Systems analyst,Diploma,11,15,Manufacturing,Enterprise,Australia,Hybrid,1,145221
Statistician,Diploma,14,3,Media,Enterprise,Germany,No,2,139226
Statistician,High School,9,5,Government,Medium,India,Yes,3,62576
AI researcher,Master,11,19,Government,Medium,Remote,No,0,133703
Data Scientist,Master,13,11,Media,Large,Remote,Yes,0,165958
Systems analyst,Master,3,7,Manufacturing,Enterprise,Netherlands,Yes,5,144593
Financial modeler,Bachelor,14,7,Consulting,Medium,Remote,Hybrid,3,139370
Data Analyst,Master,16,16,Technology,Enterprise,Sweden,Hybrid,4,171587
Math teacher,Diploma,19,17,Consulting,Large,Netherlands,Hybrid,4,190402
Statistician,PhD,15,1,Manufacturing,Enterprise,Sweden,No,1,161478
Statistician,Bachelor,7,6,Healthcare,Large,Australia,Yes,4,119584
Operations research analyst,Diploma,16,7,Media,Small,Remote,Hybrid,2,150109
Math teacher,Master,3,19,Healthcare,Medium,Canada,Hybrid,2,170473
Financial modeler,High School,10,8,Media,Startup,Singapore,Yes,2,118039
Statistician,Diploma,17,4,Finance,Startup,Sweden,Yes,1,114102
Math teacher,PhD,1,8,Government,Medium,USA,Hybrid,3,176063
Actuary,Bachelor,16,1,Telecom,Medium,Australia,No,2,157312
Risk analyst,Diploma,15,6,Media,Startup,Germany,Yes,1,149085
Risk analyst,Master,1,4,Technology,Small,Netherlands,Yes,5,118157
AI researcher,PhD,5,18,Finance,Small,USA,No,2,173992
Data Scientist,Bachelor,18,15,Education,Enterprise,Australia,Yes,3,189703
Operations research analyst,Diploma,7,6,Consulting,Enterprise,India,Yes,5,116345
Data Analyst,Master,19,12,Education,Large,Singapore,Yes,0,158074
Financial modeler,High School,0,2,Manufacturing,Enterprise,UK,Hybrid,3,136906
Operations research analyst,Master,6,2,Finance,Small,Canada,Hybrid,1,174517
Statistician,Master,2,9,Government,Small,India,Yes,3,68178
Systems analyst,High School,9,11,Retail,Enterprise,Sweden,Yes,3,124961
Math teacher,Master,7,7,Government,Large,Germany,Hybrid,3,168992
Math teacher,High School,17,5,Media,Startup,Singapore,No,3,143637
Cybersecurity Analyst,Master,2,7,Education,Medium,Australia,Yes,1,116287
Financial modeler,Master,20,9,Telecom,Small,India,Yes,4,120217
Operations research analyst,Bachelor,2,19,Media,Small,USA,Hybrid,0,168066
Math teacher,Bachelor,10,9,Healthcare,Small,Sweden,Yes,3,137913
Math teacher,High School,9,5,Education,Medium,Sweden,Hybrid,5,125846
Cybersecurity Analyst,Bachelor,5,11,Consulting,Large,Netherlands,Yes,2,140920
Data Analyst,Bachelor,2,18,Telecom,Medium,Singapore,No,2,89177
Data Scientist,PhD,8,8,Government,Startup,USA,Yes,5,174884
Operations research analyst,High School,19,6,Healthcare,Large,Singapore,Hybrid,0,184405
Operations research analyst,Bachelor,13,18,Government,Small,Canada,No,0,191828
Financial modeler,Master,13,5,Technology,Startup,UK,Yes,2,159447
AI researcher,Bachelor,2,10,Education,Startup,Netherlands,Yes,2,93776
Software Engineer,Diploma,19,5,Telecom,Startup,Netherlands,Yes,2,126583
Software Engineer,High School,6,18,Manufacturing,Small,Sweden,Hybrid,2,103688
Financial modeler,Diploma,8,11,Manufacturing,Medium,India,Hybrid,3,87191
Cybersecurity Analyst,Master,16,8,Finance,Small,Singapore,Hybrid,2,145528
Risk analyst,Diploma,2,11,Finance,Small,Sweden,No,2,99594
Math teacher,Diploma,19,10,Consulting,Startup,USA,No,4,191108
Operations research analyst,Diploma,2,15,Technology,Startup,Australia,No,1,109474
Software Engineer,PhD,6,10,Technology,Small,USA,No,5,174623
Financial modeler,High School,10,16,Telecom,Medium,Australia,No,3,134619
Systems analyst,PhD,5,19,Manufacturing,Medium,Netherlands,Hybrid,0,133063
Financial modeler,Master,9,5,Manufacturing,Enterprise,Australia,Hybrid,2,164518
AI researcher,Bachelor,12,15,Media,Medium,Singapore,Yes,5,145573
Financial modeler,Master,17,2,Healthcare,Medium,USA,Yes,5,213220
Financial modeler,Master,18,4,Government,Large,UK,Hybrid,4,205179
Data Analyst,Bachelor,11,11,Government,Startup,Netherlands,Yes,0,107593
Math teacher,High School,8,15,Healthcare,Medium,Sweden,No,4,135420
Data Analyst,Bachelor,20,12,Telecom,Startup,India,No,0,80695
Financial modeler,Diploma,12,15,Education,Medium,Australia,No,5,148686
Risk analyst,High School,7,6,Media,Medium,Remote,Yes,1,114694
Math teacher,High School,14,2,Finance,Medium,Netherlands,Yes,1,139202
Math teacher,Bachelor,18,8,Government,Enterprise,UK,No,5,226396
Actuary,Bachelor,13,19,Consulting,Startup,Remote,No,1,147048
Systems analyst,High School,2,17,Education,Small,Germany,Hybrid,3,94199
Operations research analyst,Bachelor,4,5,Media,Startup,Singapore,No,2,121695
Math teacher,High School,8,13,Telecom,Startup,Singapore,No,1,115217
Software Engineer,Master,2,14,Media,Medium,Germany,Hybrid,3,136386
Risk analyst,Bachelor,6,13,Consulting,Enterprise,Canada,No,2,183109
Math teacher,Diploma,17,11,Manufacturing,Small,Remote,No,3,142654
Operations research analyst,Diploma,13,1,Government,Large,USA,No,1,217450
Cybersecurity Analyst,High School,7,7,Education,Small,Australia,Yes,5,112134
Operations research analyst,PhD,9,8,Media,Medium,Canada,Yes,5,218541
AI researcher,Diploma,18,6,Government,Enterprise,Remote,No,0,154361
Cybersecurity Analyst,Bachelor,14,12,Education,Small,Germany,No,2,158705
Statistician,Bachelor,12,7,Retail,Small,India,Yes,3,70448
Data Analyst,Bachelor,14,12,Media,Startup,Netherlands,Yes,5,116808
Operations research analyst,High School,16,11,Retail,Large,Australia,No,5,178246
Actuary,Diploma,11,10,Healthcare,Small,Netherlands,Hybrid,2,139635
Risk analyst,Diploma,14,14,Finance,Medium,Netherlands,Yes,3,150840
Statistician,Diploma,10,1,Retail,Medium,Canada,Hybrid,0,110663
Cybersecurity Analyst,Master,12,4,Manufacturing,Medium,USA,No,4,193021
AI researcher,High School,10,9,Healthcare,Medium,India,Hybrid,0,81715
Risk analyst,Master,5,2,Telecom,Small,UK,No,4,141309
Software Engineer,PhD,4,15,Healthcare,Medium,USA,Yes,2,183697
Data Analyst,Diploma,5,6,Healthcare,Medium,UK,Hybrid,0,90218
Data Scientist,Diploma,0,19,Education,Startup,Sweden,No,5,100817
Statistician,Bachelor,5,9,Manufacturing,Large,Germany,Hybrid,0,117068
Data Analyst,PhD,18,16,Media,Medium,Netherlands,Yes,2,149575
Data Analyst,PhD,20,5,Technology,Medium,Australia,Yes,1,156120
Operations research analyst,PhD,12,17,Retail,Startup,USA,No,5,224343
Financial modeler,Master,8,7,Retail,Large,UK,No,2,171813
Actuary,PhD,6,12,Manufacturing,Small,Remote,No,4,147156
Statistician,PhD,20,1,Government,Small,Sweden,No,2,131491
Software Engineer,Master,17,16,Media,Large,Netherlands,Yes,3,177693
Data Scientist,Master,2,8,Government,Startup,Canada,No,3,133238
Cybersecurity Analyst,Diploma,13,10,Healthcare,Medium,India,No,4,92829
Cybersecurity Analyst,Master,8,6,Consulting,Enterprise,Sweden,No,3,173939
Cybersecurity Analyst,Diploma,2,4,Government,Enterprise,Sweden,Hybrid,1,125279
Software Engineer,Master,3,6,Education,Startup,Remote,No,4,104918
Risk analyst,PhD,20,4,Education,Small,Remote,Hybrid,5,173883
Math teacher,Diploma,11,11,Telecom,Startup,India,Yes,1,86563
Math teacher,Master,14,3,Telecom,Enterprise,Netherlands,Hybrid,3,190724
Financial modeler,Bachelor,9,17,Healthcare,Medium,Netherlands,Yes,5,152594
Actuary,Bachelor,10,7,Technology,Large,Canada,Yes,3,197173
Data Scientist,High School,3,8,Technology,Enterprise,USA,Hybrid,3,165205
Statistician,PhD,9,2,Retail,Large,Germany,Yes,5,158285
Operations research analyst,Master,3,3,Manufacturing,Small,Remote,Hybrid,5,130010
Cybersecurity Analyst,Bachelor,13,15,Retail,Enterprise,Sweden,Hybrid,3,175793
Statistician,PhD,7,1,Retail,Large,Sweden,Yes,4,133659
Risk analyst,High School,0,4,Healthcare,Enterprise,Singapore,Yes,5,118822
Software Engineer,Master,18,15,Education,Startup,Australia,Hybrid,5,154918
Math teacher,High School,8,6,Retail,Medium,Singapore,Hybrid,3,118612
Software Engineer,Master,14,1,Media,Large,Netherlands,No,3,148105
Statistician,Master,1,7,Telecom,Startup,USA,No,3,111783
Data Analyst,Bachelor,6,9,Manufacturing,Large,Australia,No,5,111244
Systems analyst,High School,11,15,Manufacturing,Small,Germany,No,1,124843
Data Analyst,Diploma,16,10,Government,Large,Remote,Hybrid,4,136655
AI researcher,Master,20,14,Government,Startup,Germany,No,1,153804
Statistician,High School,1,14,Education,Small,Germany,No,4,85628
Operations research analyst,High School,7,9,Healthcare,Medium,Australia,Yes,0,141928
Data Scientist,High School,3,4,Finance,Startup,Singapore,Yes,2,96741
Operations research analyst,Bachelor,1,9,Telecom,Small,India,Hybrid,4,90663
AI researcher,Diploma,13,2,Government,Medium,Remote,No,2,117710
Actuary,Master,8,7,Healthcare,Small,Canada,Yes,4,185642
Math teacher,Diploma,19,16,Retail,Large,Canada,Hybrid,4,216447
Statistician,PhD,13,17,Consulting,Small,USA,Hybrid,3,181841
Financial modeler,High School,7,6,Education,Startup,Sweden,Yes,1,108243
Statistician,Master,18,12,Media,Large,Remote,Yes,0,160724
Math teacher,Diploma,19,2,Media,Large,Australia,No,4,171925
AI researcher,PhD,18,19,Education,Small,Germany,No,0,164702
Risk analyst,Diploma,14,19,Telecom,Large,India,No,5,122281
Systems analyst,Diploma,16,12,Consulting,Small,India,Yes,3,88002
Financial modeler,High School,19,13,Retail,Medium,Canada,Hybrid,5,180931
Systems analyst,High School,3,15,Retail,Startup,UK,Yes,0,96043
Risk analyst,Bachelor,17,3,Government,Enterprise,Singapore,Yes,0,185232
Data Analyst,Diploma,5,12,Technology,Enterprise,Netherlands,No,2,106560
Software Engineer,High School,1,14,Telecom,Large,USA,Hybrid,0,126119
Statistician,Diploma,10,11,Government,Large,India,No,5,88179
Math teacher,High School,12,13,Healthcare,Startup,Singapore,Hybrid,1,133069
Software Engineer,PhD,19,11,Consulting,Startup,Remote,Yes,0,151387
Financial modeler,Bachelor,16,2,Consulting,Enterprise,USA,Yes,5,234054
Actuary,PhD,9,10,Manufacturing,Small,UK,Hybrid,5,185873
Data Scientist,Master,13,2,Consulting,Startup,Australia,No,2,117505
Cybersecurity Analyst,Diploma,8,1,Consulting,Large,Remote,No,3,129857
Financial modeler,Bachelor,3,15,Media,Large,Australia,Yes,0,136154
Systems analyst,Master,14,2,Telecom,Enterprise,Canada,Yes,0,186258
Statistician,Master,10,7,Media,Startup,India,Yes,4,75256
Data Scientist,Diploma,3,7,Education,Small,Germany,Yes,2,113021
Actuary,High School,11,16,Manufacturing,Small,Germany,Hybrid,0,158842
Financial modeler,Bachelor,2,12,Finance,Small,Australia,Hybrid,2,108298
AI researcher,Bachelor,20,10,Technology,Small,Netherlands,Yes,3,143820
Actuary,Bachelor,4,12,Consulting,Small,UK,Yes,2,151510
Operations research analyst,Master,5,5,Technology,Medium,UK,Yes,0,173311
Financial modeler,High School,10,8,Finance,Small,Remote,Yes,4,123418
Risk analyst,PhD,1,17,Media,Small,Canada,No,5,159157
Financial modeler,High School,7,4,Media,Enterprise,Netherlands,Yes,0,138651
Operations research analyst,Master,5,17,Finance,Enterprise,Singapore,Hybrid,3,192538
Software Engineer,Master,0,8,Manufacturing,Small,UK,No,3,118648
AI researcher,Master,10,9,Retail,Startup,USA,Hybrid,0,154366
Data Analyst,High School,6,1,Media,Large,Remote,No,5,102977
Math teacher,High School,7,12,Healthcare,Large,India,Hybrid,1,100650
Software Engineer,High School,19,2,Education,Medium,Remote,Hybrid,4,135258
Systems analyst,PhD,3,7,Government,Small,UK,Hybrid,3,122465
AI researcher,High School,16,6,Retail,Medium,Netherlands,No,2,121035
AI researcher,Master,16,7,Telecom,Large,Netherlands,No,4,159781
AI researcher,High School,10,4,Retail,Enterprise,USA,Yes,1,175270
Operations research analyst,Master,15,9,Healthcare,Enterprise,Singapore,Yes,0,219126
Data Analyst,High School,7,3,Healthcare,Enterprise,Sweden,No,1,101311
Risk analyst,Master,6,16,Telecom,Enterprise,India,Hybrid,1,113817
Statistician,PhD,2,7,Retail,Startup,Singapore,Yes,0,92964
AI researcher,PhD,8,1,Healthcare,Enterprise,Remote,Yes,1,162013
Risk analyst,Master,8,19,Consulting,Enterprise,Australia,Hybrid,2,171627
Statistician,Diploma,0,4,Government,Enterprise,UK,Yes,4,115213
Math teacher,Master,11,12,Telecom,Startup,Canada,Yes,2,175536
Risk analyst,PhD,7,1,Education,Medium,Netherlands,No,3,136699
Math teacher,High School,3,2,Telecom,Enterprise,USA,Yes,3,182259
Statistician,Diploma,13,8,Education,Enterprise,UK,Hybrid,3,154444
Data Analyst,Bachelor,9,15,Finance,Small,Australia,Hybrid,0,97062
Math teacher,High School,5,10,Healthcare,Medium,Netherlands,Hybrid,0,121088
Systems analyst,PhD,3,17,Retail,Enterprise,UK,Yes,2,182239
Data Analyst,Bachelor,7,14,Finance,Medium,India,No,0,66392
Software Engineer,High School,10,19,Finance,Enterprise,Canada,Hybrid,3,177494
Data Analyst,Diploma,20,11,Telecom,Enterprise,Canada,Hybrid,0,177898
Systems analyst,PhD,10,13,Education,Large,USA,Yes,3,210723
Math teacher,Diploma,16,18,Education,Medium,Germany,Hybrid,0,169383
Financial modeler,Diploma,0,17,Healthcare,Small,Sweden,No,1,101619
Data Analyst,Diploma,9,10,Media,Enterprise,Sweden,Yes,0,128022
Systems analyst,PhD,19,9,Media,Enterprise,Singapore,Hybrid,2,193942
AI researcher,PhD,10,7,Manufacturing,Enterprise,UK,Hybrid,3,197712
Cybersecurity Analyst,High School,16,1,Telecom,Startup,Remote,Hybrid,0,122479
Data Analyst,Master,15,15,Government,Small,Singapore,Yes,0,128974
Financial modeler,PhD,12,17,Government,Medium,India,No,0,108268
Operations research analyst,PhD,3,3,Manufacturing,Small,India,Hybrid,1,106621
Operations research analyst,PhD,16,16,Consulting,Enterprise,Australia,No,4,235392
Data Analyst,Diploma,17,15,Finance,Small,USA,Hybrid,2,167637
